City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Dharchula,IN,29.85,80.5333,70.21,29,100,5.61,overcast clouds
Dzhebariki-Khaya,RU,62.2167,135.8,5.22,97,100,3.56,light snow
Cabo San Lucas,MX,22.8909,-109.9124,73.51,72,4,1.01,clear sky
Corinto,GR,37.9407,22.9573,70.9,71,2,4.07,clear sky
Aklavik,CA,68.2191,-135.0107,18.0,80,100,2.55,overcast clouds
Misratah,LY,32.3754,15.0925,69.82,50,0,9.84,clear sky
Jharsuguda,IN,21.85,84.0333,78.91,34,40,3.44,haze
Sitka,US,57.0531,-135.33,48.09,43,100,13.8,overcast clouds
Antofagasta,CL,-23.65,-70.4,61.88,88,32,0.89,scattered clouds
Vila Real De Santo Antonio,PT,37.195,-7.4177,52.34,71,99,9.35,overcast clouds
Havelock,US,34.8791,-76.9013,47.93,86,0,0.0,clear sky
Bluff,NZ,-46.6,168.3333,58.8,84,47,21.65,scattered clouds
Rio Tercero,AR,-32.173,-64.1141,68.49,69,99,8.14,overcast clouds
Vestmannaeyjar,IS,63.4427,-20.2734,45.61,76,100,34.65,overcast clouds
Salalah,OM,17.0151,54.0924,84.29,48,0,4.61,clear sky
Guerrero Negro,MX,27.9769,-114.0611,59.86,63,0,8.01,clear sky
Kallaste,EE,58.655,27.1592,23.23,84,100,16.73,light snow
Dori,BF,14.0354,-0.0345,74.88,23,28,7.67,scattered clouds
Clyde River,CA,70.4692,-68.5914,-17.77,95,52,4.38,broken clouds
Iqaluit,CA,63.7506,-68.5145,13.73,79,75,6.91,broken clouds
Mount Gambier,AU,-37.8333,140.7667,58.69,94,76,11.61,light rain
Rochester,US,43.1548,-77.6156,29.08,84,0,11.5,clear sky
Buraydah,SA,26.326,43.975,63.05,62,83,14.92,broken clouds
Prince Rupert,CA,54.3161,-130.3201,40.69,64,100,11.5,overcast clouds
Tura,IN,25.5198,90.2201,78.75,44,55,2.53,broken clouds
Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,81,27,3.69,scattered clouds
Batagay-Alyta,RU,67.8006,130.4114,-17.57,87,100,1.43,overcast clouds
Port Elizabeth,ZA,-33.918,25.5701,68.09,72,40,20.71,scattered clouds
Bambous Virieux,MU,-20.3428,57.7575,80.85,57,40,11.5,scattered clouds
Whittlesea,ZA,-32.1759,26.8244,55.72,84,99,7.31,overcast clouds
Mareeba,AU,-17.0,145.4333,89.44,57,15,9.15,few clouds
Gayeri,BF,12.6497,0.4931,74.16,32,100,6.22,overcast clouds
Husavik,IS,66.0449,-17.3389,38.79,86,0,8.84,clear sky
Dong Hoi,VN,17.4833,106.6,81.68,71,100,4.9,overcast clouds
Hobart,AU,-42.8794,147.3294,66.25,58,75,16.11,light rain
Whitehorse,CA,60.7161,-135.0538,13.1,84,100,15.01,light snow
Marsa Matruh,EG,31.3525,27.2453,66.4,30,20,16.11,few clouds
Saint-Philippe,RE,-21.3585,55.7679,78.39,64,0,9.33,clear sky
Souillac,MU,-20.5167,57.5167,80.98,57,40,11.5,scattered clouds
Savannah Bight,HN,16.45,-85.85,80.13,78,59,9.4,light rain
Tarragona,ES,41.129,1.249,51.64,58,20,23.02,few clouds
Saint George,US,37.1041,-113.5841,41.59,51,0,23.02,clear sky
Port Alfred,ZA,-33.5906,26.891,62.19,86,100,7.0,overcast clouds
Avarua,CK,-21.2078,-159.775,73.45,78,20,2.3,few clouds
Nisia Floresta,BR,-6.0911,-35.2086,75.58,88,25,3.96,scattered clouds
Mgandu,TZ,-5.95,34.1333,63.5,87,100,3.24,light rain
Aswan,EG,24.0934,32.907,63.7,48,0,5.75,clear sky
Plettenberg Bay,ZA,-34.0527,23.3716,64.09,60,19,12.5,light rain
Vrangel,RU,42.7297,133.0839,42.91,67,36,6.71,scattered clouds
Mnogovershinnyy,RU,53.9353,139.9242,12.51,94,21,3.13,few clouds
Olga,RU,43.7444,135.2892,34.9,75,100,3.33,overcast clouds
Niort,FR,46.3333,-0.3333,39.83,91,9,3.74,clear sky
Svetlyy,RU,54.675,20.1347,21.25,78,89,7.56,overcast clouds
Torbat-E Jam,IR,35.244,60.6225,61.02,43,1,2.04,clear sky
Aramecina,HN,13.7422,-87.7103,75.58,77,89,6.15,overcast clouds
Hasaki,JP,35.7333,140.8333,61.29,53,86,13.8,overcast clouds
Harboore,DK,56.6175,8.1807,37.74,67,48,17.25,scattered clouds
Venado Tuerto,AR,-33.7456,-61.9688,69.76,36,16,4.07,light rain
Longyearbyen,SJ,78.2186,15.6401,39.04,87,100,16.11,light intensity drizzle rain
Orocue,CO,4.7912,-71.3354,73.81,89,100,2.98,overcast clouds
Rosetta,EG,31.4044,30.4164,68.32,53,5,5.5,clear sky
Cap Malheureux,MU,-19.9842,57.6142,79.47,57,42,8.01,scattered clouds
Spornoye,RU,50.8448,37.2913,27.63,91,100,19.24,light snow
Puerto Ayora,EC,-0.7393,-90.3518,69.55,94,92,4.0,overcast clouds
Cotonou,BJ,6.3654,2.4183,78.78,89,75,3.44,thunderstorm with light rain
Georgetown,MY,5.4112,100.3354,85.95,82,40,10.36,scattered clouds
Abeche,TD,13.8292,20.8324,77.56,18,5,13.65,clear sky
Tuktoyaktuk,CA,69.4541,-133.0374,28.4,100,100,18.41,mist
Inhambane,MZ,-23.865,35.3833,84.56,52,55,15.55,broken clouds
Hervey Bay,AU,-25.2986,152.8535,74.68,71,16,19.75,few clouds
Khatanga,RU,71.9667,102.5,-32.64,98,78,4.45,broken clouds
Kirakira,SB,-10.4544,161.9205,81.32,80,100,4.21,light rain
Samarai,PG,-10.6167,150.6667,84.97,71,100,11.1,overcast clouds
Maceio,BR,-9.6658,-35.7353,72.84,94,0,3.44,clear sky
Lagoa,PT,39.05,-27.9833,63.28,81,2,20.11,clear sky
Norman Wells,CA,65.282,-126.8329,-3.96,77,20,3.44,few clouds
Dandong,CN,40.1292,124.3947,53.04,68,97,8.77,overcast clouds
Concepcion Del Oro,MX,24.6333,-101.4167,52.41,80,4,7.29,clear sky
Fairbanks,US,64.8378,-147.7164,15.93,84,75,0.0,broken clouds
Uyemskiy,RU,64.4743,40.8524,28.45,93,100,2.24,overcast clouds
Dryden,CA,49.7833,-92.7503,10.69,79,100,10.36,overcast clouds
Kemijarvi,FI,66.7131,27.4306,28.04,90,100,2.46,overcast clouds
Quatre Cocos,MU,-20.2078,57.7625,80.71,65,52,9.08,broken clouds
Tiksi,RU,71.6872,128.8694,-20.29,98,79,5.01,broken clouds
Aleksandrovskiy Zavod,RU,50.9237,117.9374,20.1,89,100,15.35,light snow
Necochea,AR,-38.5473,-58.7368,60.42,94,100,10.27,moderate rain
Litovko,RU,49.2361,135.1742,24.46,91,100,3.71,overcast clouds
Pastavy,BY,55.1168,26.8326,20.59,91,100,9.31,overcast clouds
Dingle,PH,10.9995,122.6711,80.69,84,100,2.59,overcast clouds
Moga,IN,30.8,75.1667,78.33,20,63,0.34,broken clouds
Itapirapua,BR,-15.8233,-50.6133,73.02,69,37,1.99,scattered clouds
Ostrovnoy,RU,68.0531,39.5131,28.69,82,77,21.85,broken clouds
Blantyre,MW,-15.785,35.0085,82.33,43,9,4.54,clear sky
Kota Tinggi,MY,1.7381,103.8999,83.21,63,100,6.17,very heavy rain
Lakatoro,VU,-16.0999,167.4164,82.74,73,60,4.38,broken clouds
Eyl,SO,7.9803,49.8164,86.4,60,16,16.02,light rain
Mbarara,UG,-0.608,30.65,68.52,79,98,0.18,light rain
Oktyabrskiy,RU,54.4815,53.471,29.89,97,100,12.21,snow
Lebu,CL,-37.6167,-73.65,53.35,84,58,16.13,broken clouds
Codrington,AU,-38.2667,141.9667,61.99,94,98,18.34,light rain
Olafsvik,IS,64.8945,-23.7142,42.22,75,71,18.25,broken clouds
Acarau,BR,-2.8856,-40.12,78.06,77,88,11.43,overcast clouds
Ucluelet,CA,48.9329,-125.5528,41.02,60,12,6.29,few clouds
Khatima,IN,28.9167,79.9667,74.32,48,98,5.84,overcast clouds
Kropachevo,RU,55.0112,57.9896,21.0,93,100,7.92,overcast clouds
Beringovskiy,RU,63.05,179.3167,13.62,93,100,2.57,overcast clouds
Viedma,AR,-40.8135,-62.9967,61.56,91,6,9.19,clear sky
Bulgan,MN,48.8125,103.5347,15.85,69,57,2.73,broken clouds
Palamos,ES,41.8484,3.1291,52.11,42,100,11.14,overcast clouds
Krasnoborsk,RU,61.5598,45.934,16.36,91,61,2.91,broken clouds
Talcahuano,CL,-36.7167,-73.1167,56.88,82,0,10.36,clear sky
San Lawrenz,MT,36.0553,14.204,69.85,89,7,7.0,clear sky
Waddan,LY,29.1614,16.139,67.8,21,0,5.28,clear sky
Vikhorevka,RU,56.1201,101.1636,11.79,81,93,3.38,overcast clouds
Nikolskoye,RU,59.7035,30.7861,21.09,76,91,8.72,overcast clouds
Valparaiso,CL,-33.0393,-71.6273,55.04,87,0,3.44,clear sky
Ati,TD,13.2154,18.3353,79.7,20,31,12.24,scattered clouds
Grindavik,IS,63.8424,-22.4338,43.27,75,75,20.71,broken clouds
Vila,PT,42.0304,-8.1588,38.28,91,97,4.41,overcast clouds
Ryotsu,JP,38.0833,138.4333,54.09,62,77,9.98,broken clouds
Grand Gaube,MU,-20.0064,57.6608,81.0,57,39,8.01,scattered clouds
Walvis Bay,NA,-22.9575,14.5053,67.55,60,81,10.02,broken clouds
Bosaso,SO,11.2842,49.1816,82.38,74,0,0.0,clear sky
Poum,NC,-20.2333,164.0167,77.13,73,95,19.64,overcast clouds
Neiafu,TO,-18.65,-173.9833,79.48,78,40,4.61,scattered clouds
Asekeyevo,RU,53.5742,52.7972,33.28,100,100,5.03,light snow
Paso De Los Toros,UY,-32.8167,-56.5167,66.87,65,6,12.48,clear sky
Axim,GH,4.8699,-2.2405,77.02,85,4,4.05,light rain
Cayenne,GF,4.9333,-52.3333,73.44,94,0,0.0,clear sky
Hovd,MN,48.0056,91.6419,20.03,30,91,3.78,overcast clouds
San Bartolome,ES,27.9248,-15.5733,59.47,78,75,21.85,broken clouds
Deputatskiy,RU,69.3,139.9,-24.2,98,55,6.96,broken clouds
Port Macquarie,AU,-31.4333,152.9167,73.89,67,2,11.99,clear sky
Havre-Saint-Pierre,CA,50.2334,-63.5986,28.4,80,75,14.97,broken clouds
Atar,MR,20.5169,-13.0499,65.62,24,0,8.28,clear sky
Kununurra,AU,-15.7667,128.7333,94.98,46,75,18.41,broken clouds
Nanakuli,US,21.3906,-158.1547,76.98,81,75,5.75,broken clouds
Awbari,LY,26.5921,12.7805,66.31,20,1,8.5,clear sky
Taksimo,RU,56.3444,114.8794,7.3,78,12,3.4,few clouds
Boguchany,RU,58.3814,97.4531,14.31,89,98,4.05,overcast clouds
Bonavista,CA,48.6499,-53.1147,34.74,62,0,25.34,clear sky
Vardo,NO,70.3705,31.1107,28.38,80,97,24.16,overcast clouds
Hobyo,SO,5.3505,48.5268,84.0,62,20,7.36,few clouds
Marrakesh,MA,31.6315,-8.0083,55.47,71,40,8.05,scattered clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,68.56,67,55,1.74,broken clouds
Lasa,IT,46.6166,10.7002,38.28,67,21,2.73,few clouds
Payo,ID,-3.7508,103.6372,90.9,49,68,3.94,broken clouds
Arlit,NE,18.7369,7.3853,70.3,14,71,6.02,broken clouds
Mbandaka,CD,0.0487,18.2603,76.12,74,100,3.78,overcast clouds
Lewiston,US,44.1003,-70.2148,35.42,72,0,5.75,clear sky
Puerto Colombia,CO,10.9878,-74.9547,77.09,86,100,5.99,overcast clouds
Bereda,ES,43.2686,-7.5406,45.41,100,94,0.65,overcast clouds
Ossora,RU,59.2353,163.0719,12.25,87,21,4.85,few clouds
Rzeszow,PL,50.0413,21.999,28.9,89,40,4.61,scattered clouds
Ilulissat,GL,69.2167,-51.1,33.82,47,40,20.71,scattered clouds
Rawson,AR,-43.3002,-65.1023,65.93,59,46,7.85,scattered clouds
Crestview,US,30.7621,-86.5705,50.25,71,0,4.0,clear sky
Linjiang,CN,41.8069,126.9078,45.3,62,64,1.86,broken clouds
Cam Ranh,VN,11.9214,109.1591,80.56,78,75,14.97,broken clouds
Gaya,IN,24.7833,85.0,76.91,33,36,0.0,haze
Padang,ID,-0.9492,100.3543,84.25,75,100,4.65,overcast clouds
Jurm,AF,36.8648,70.8342,44.4,97,100,2.68,overcast clouds
Airai,TL,-8.9266,125.4092,66.15,90,100,1.16,moderate rain
Adamas,GR,36.7333,24.4333,67.3,88,0,24.36,clear sky
Pinega,RU,64.7001,43.3936,13.64,96,72,3.91,broken clouds
Diamantino,BR,-14.4086,-56.4461,68.13,80,38,3.51,scattered clouds
San Cristobal,VE,7.7669,-72.225,65.05,96,91,1.45,overcast clouds
Fallon,US,39.4735,-118.7774,32.29,41,0,6.71,clear sky
Yaan,NG,7.3833,8.5667,78.21,63,23,3.87,few clouds
Kargasok,RU,59.0556,80.8572,3.45,89,100,10.78,overcast clouds
Denpasar,ID,-8.65,115.2167,85.71,70,20,4.61,few clouds
Henties Bay,NA,-22.116,14.2845,63.18,75,54,6.44,broken clouds
Niceville,US,30.5169,-86.4822,50.92,56,100,5.99,overcast clouds
Ulaangom,MN,49.9811,92.0667,17.37,83,95,3.29,overcast clouds
Shenjiamen,CN,29.9576,122.298,66.85,89,98,3.67,overcast clouds
Kastamonu,TR,41.5,33.6667,57.22,70,6,3.62,clear sky
Sambava,MG,-14.2667,50.1667,80.8,68,25,9.13,scattered clouds
Grand Baie,MU,-20.0182,57.5802,81.07,57,51,8.01,broken clouds
Lebedinyy,RU,58.5167,125.5167,3.16,97,100,5.12,light snow
Kraskino,RU,42.7114,130.7794,43.5,68,100,7.31,overcast clouds
Zanjan,IR,36.6736,48.4787,46.09,66,0,0.0,clear sky
Kimbe,PG,-5.5502,150.1429,82.31,81,98,2.06,light rain
Krieglach,AT,47.5333,15.55,40.6,92,97,1.66,overcast clouds
Dunedin,NZ,-45.8742,170.5036,52.45,99,100,7.31,overcast clouds
Akhmeta,GE,42.0311,45.2075,55.92,45,7,1.95,clear sky
San Policarpo,PH,12.1791,125.5072,79.77,86,100,6.49,moderate rain
Kichera,RU,55.9375,110.0997,9.05,77,0,4.83,clear sky
Ponta Do Sol,PT,32.6667,-17.1,66.83,64,22,8.88,few clouds
Kaeo,NZ,-35.1,173.7833,68.32,84,16,9.95,few clouds
Lompoc,US,34.6391,-120.4579,51.62,100,100,8.05,fog
Labuan,MY,5.2767,115.2417,86.36,66,20,2.3,few clouds
Shimoda,JP,34.6667,138.95,66.56,60,100,12.01,overcast clouds
Kushiro,JP,42.975,144.3747,40.15,93,75,4.61,broken clouds
Palembang,ID,-2.9167,104.7458,87.89,62,75,6.91,light rain
Bayan,CN,46.0833,127.4,40.05,61,100,13.87,overcast clouds
Luderitz,NA,-26.6481,15.1594,71.56,40,100,23.04,overcast clouds
Gamba,GA,-2.65,10.0,78.42,82,100,7.05,overcast clouds
Garmsar,IR,35.2182,52.3409,61.23,28,0,3.27,clear sky
Kalino,RU,58.2504,57.6085,15.4,72,15,5.03,few clouds
Pierre,US,44.3683,-100.351,23.86,67,100,24.16,overcast clouds
Kuryk,KZ,43.2,51.65,54.99,52,55,4.03,broken clouds
Marigot,MF,18.0667,-63.0833,81.05,74,20,10.36,few clouds
Hamilton,US,39.1834,-84.5333,23.92,80,0,3.44,clear sky
Ust-Maya,RU,60.4167,134.5333,-2.06,100,96,1.68,overcast clouds
Griffith,US,41.5284,-87.4237,22.86,77,100,12.66,overcast clouds
Najran,SA,17.4924,44.1277,72.25,25,1,8.23,clear sky
Metro,ID,-5.1131,105.3067,87.57,58,78,4.29,broken clouds
Sur,OM,22.5667,59.5289,83.77,44,0,6.2,clear sky
Ken Caryl,US,39.5773,-105.1169,17.44,79,5,7.0,clear sky
Coquimbo,CL,-29.9533,-71.3436,58.73,94,100,3.44,overcast clouds
Carlet,ES,39.2333,-0.5167,54.9,59,0,14.0,clear sky
Holguin,CU,20.8872,-76.2631,76.5,94,20,6.91,few clouds
Sokoni,TZ,-6.4333,39.55,82.26,73,100,5.26,overcast clouds
Pio Xii,BR,-3.8325,-45.1525,73.04,98,100,2.93,overcast clouds
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,21.79,50,0,2.24,clear sky
Huangnihe,CN,43.5583,128.0239,37.67,73,99,6.22,overcast clouds
Uddevalla,SE,58.3478,11.9424,35.96,86,96,3.0,overcast clouds
Brewster,US,41.3973,-73.6171,33.75,77,0,6.91,clear sky
Fukue,JP,32.6881,128.8419,68.36,68,75,6.91,broken clouds
Churu,IN,28.3,74.95,78.26,15,7,1.57,clear sky
Yerbogachen,RU,61.2767,108.0108,5.22,81,100,10.51,overcast clouds
Esperance,AU,-33.8667,121.9,61.21,63,63,22.03,broken clouds
Namibe,AO,-15.1961,12.1522,72.9,75,100,6.51,overcast clouds
Anadyr,RU,64.75,177.4833,-8.9,77,0,8.95,clear sky
Rassvet,RU,46.8333,40.75,49.89,86,99,15.64,overcast clouds
Tynne,UA,50.6015,26.1849,27.99,96,91,7.4,overcast clouds
Upernavik,GL,72.7868,-56.1549,10.35,88,100,17.07,overcast clouds
Half Moon Bay,US,37.4636,-122.4286,58.32,56,0,4.61,clear sky
Touros,BR,-5.1989,-35.4608,76.14,81,67,8.48,broken clouds
Pokhara,NP,28.2333,83.9833,74.34,43,0,5.88,clear sky
Bridlington,GB,54.0831,-0.1919,49.01,89,100,14.0,moderate rain
Portland,US,45.5234,-122.6762,40.08,49,7,10.0,clear sky
Camabatela,AO,-8.1881,15.375,72.01,70,39,2.53,scattered clouds
Richards Bay,ZA,-28.783,32.0377,77.59,71,100,11.36,overcast clouds
Flinders,AU,-34.5833,150.8552,73.18,73,68,5.01,broken clouds
Nikolayevka,RU,53.1257,47.2041,32.27,83,88,9.98,overcast clouds
Mittagong,AU,-34.45,150.45,66.0,58,100,1.54,overcast clouds
Kislovodsk,RU,43.9133,42.7208,45.25,43,100,4.23,overcast clouds
Oriximina,BR,-1.7656,-55.8661,76.01,65,100,2.3,overcast clouds
Dhamrai,BD,23.9202,90.2109,82.38,41,18,5.35,few clouds
Arauca,CO,7.0847,-70.7591,73.4,100,76,1.14,broken clouds
Carnarvon,AU,-24.8667,113.6333,72.45,43,0,21.5,clear sky
Springdale,US,36.1867,-94.1288,26.51,61,100,4.61,overcast clouds
Bengkulu,ID,-3.8004,102.2655,80.89,81,99,12.21,overcast clouds
Sisophon,KH,13.5859,102.9737,89.04,60,92,5.97,overcast clouds
Dankov,RU,53.2515,39.1555,23.76,87,100,7.38,overcast clouds
Quang Ngai,VN,15.1167,108.8,75.27,92,100,5.26,light rain
Rorvik,NO,64.8621,11.2373,35.71,48,0,4.61,clear sky
Bijela,BA,43.6086,17.9519,47.1,93,100,3.53,overcast clouds
